Overall grade,Weekly study hours,Class absences,Enrollment time,Enjoyment
93,5,1,2021 Fall,5
95,17,0,2019 Winter,5
100,3,0,2023 summer,5
95,7,1,2022 Fall,3
91,7,0,2022 Fall,3
85,8,8,2023 Summer,5
86,8,3,2021 Winter,2
82,6,5,2022 Winter,2
91,5,3,2019 Winter,5
75,4,10,2021 Winter,1
82,3,10,2021 Fall,2
64,5,2,2021 Winter,1
100,3,2,2023 Summer,4
75,4,8,2021 Winter,2
89,10,2,2021 Winter,4
81,2,1,2022 Winter,4
80,5,6,2021 Winter,2
90,7,2,2022 Fall,3
71,3,8,2022 Fall,1
82,8,3,2021 Fall,3
84,5,2,2022 Fall,4
